식당(ID),식당명,지점명,지역명,네이버평점
147309,덕정가든,,강화군,
147314,등대숯불장어,,강화군,4.24
147319,송림가든,,강화군,3.92
147343,용궁횟집,,강화군,
147373,장곶횟집 새우대하양식장,,강화군,4.53
147376,조단,,강화군,5
147382,멕시칸 치킨,화도분점,강화군,
147390,백송 손두부,,강화군,4.31
147396,서해꽃게전문,,강화군,4.4
147415,천서리횟집,,강화군,4.05
147422,수석횟집,,강화군,
147429,통나무식당,,강화군,4.5
147434,기념일,,강화군,4.8
147439,우리식당,,강화군,4.65
147442,최가네치킨,강화점,강화군,4.09
147448,돌기와집,,강화군,4.02
147453,강화도 송탄부대찌개,,강화군,4.07
147457,알미부대고기전문,,강화군,4.59
147468,죽이야기,인천 강화점,강화군,4.28
147471,문화반점,,강화군,4.13
147475,강화해신탕,,강화군,4.49
147479,양선민참숯불풍천장어,,강화군,4.83
147484,큰이모네식당,,강화군,4.4
147489,수라전통육개장,,강화군,4.48
147492,하우스홀드,온수점,강화군,4.46
147497,원두막,,강화군,4.23
147501,그때그추억,,강화군,
147507,진광회집,,강화군,4.75
147511,꽃게와낙지,,강화군,4.67
147517,성안정꽃게탕,,강화군,4.28
147518,기사식당,,강화군,
147522,진두강참장어,,강화군,5
147527,이어도횟집,,강화군,4.39
147531,외포리숯불장어,,강화군,4.52
147534,그쌈네,,강화군,4.32
147538,강화어부네꽃게탕,,강화군,4.33
147542,미스터후라이드&미스터떡볶이,,강화군,
147548,교동반점,,강화군,4.19
147552,뚱이 호떡,,강화군,4.72
147556,물레방아식당,,강화군,4.19
147561,다예촌,,강화군,4.23
147565,서해가든,,강화군,4.45
147571,용우동,온수점,강화군,
147582,두촌가,,강화군,4.73
147587,만나네,,강화군,
147599,오류네칼국수,,강화군,4
147603,정원정,,강화군,4.39
147608,바베큐랜드,,강화군,4.41
147620,강화성국수,,강화군,4.07
147626,일미산장숯불장어,,강화군,4.26
147635,들꽃,,강화군,4.35
147640,아이벗치킨,불은점,강화군,4.43
147645,이조시대손두부,,강화군,
147649,해마루,,강화군,2.33
147658,미가소곱창,,강화군,
147661,해둥지민속카페,,강화군,
147664,황토옛집,,강화군,3.96
147676,대아촌,,강화군,4.23
147678,토담마을,,강화군,4.4
147682,바닷가에서,,강화군,4.1
147684,뱃고동,,강화군,4.09
147687,산내들식당,,강화군,4.25
147690,풍운각,,강화군,4.28
147741,명가생고기촌,,강화군,4.5
147746,서강식당정육점,,강화군,4.29
147757,대청마루한상,,강화군,4.3
147768,초원생갈비,,강화군,4.05
147777,라메르,,강화군,4.21
147780,나나,,강화군,
147784,강화치킨,,강화군,4.18
147788,장수촌,,강화군,4.45
147793,터미널식당,,강화군,4.64
147796,충남서산집,,강화군,4.25
147803,해고양이,,강화군,
147807,전망좋은집,,강화군,4.5
147831,계림가든,,강화군,4.2
147837,장가네,,강화군,4.5
147845,동훈가삼계탕,,강화군,4.49
147849,찬우물한방감자탕,,강화군,4.42
147852,종갓집,,강화군,4.35
147855,심애선해물칼국수,,강화군,4.43
147865,세븐나잇,,강화군,4.61
147870,일마레,,강화군,4.28
147873,서산갯마을,,강화군,4.14
147881,용이반점,,강화군,4.41
147886,돈대회쎈타,,강화군,4.07
147890,소나무집,,강화군,
147898,경기식당조짜장네,,강화군,3.88
147902,별천지,,강화군,4.32
147921,복인식당,,강화군,
147927,서울깍두기,,강화군,4.4
